id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39672956,Rental unit in Porto · ★4.92 · 1 bedroom · 1 bed · 1 bath,304910178,Casa,PORTO,Bonfim,41.14374,-8.59883,Entire home/apt,74,2,52,2023-05-28,1.21,4,305,8,104529/AL
40025928,Condo in Vila do Conde · 3 bedrooms · 4 beds · 1 bath,308701932,Antonio,VILA DO CONDE,Vila do Conde,41.36226,-8.7587,Entire home/apt,50,2,0,,,1,0,0,Exempt
40028330,Rental unit in Porto · ★4.96 · 3 bedrooms · 4 beds · 2 baths,308720337,Carlos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1501,-8.61254,Entire home/apt,275,2,57,2023-06-05,1.66,3,295,32,101893/AL
40387341,Rental unit in Porto · ★4.69 · 1 bedroom · 2 beds · 1 bath,101838501,Porto City Hosts,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15756,-8.60612,Entire home/apt,89,1,29,2023-06-07,0.69,66,191,10,95835/AL
39680945,Rental unit in Porto · Studio · 3 beds · 1 bath,304057681,Eduardo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15251,-8.60432,Entire home/apt,78,3,1,2023-04-10,0.46,1,175,1,2438ASL
40387781,Rental unit in Porto · ★4.84 · 1 bedroom · 2 beds · 1 bath,151352873,Liu-Qi,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14326,-8.61668,Entire home/apt,125,2,70,2023-05-15,1.66,12,21,21,25365/AL
40036335,Rental unit in Vila Nova de Gaia · ★4.90 · 2 bedrooms · 4 beds · 1 bath,308784911,Júlia,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12176,-8.60591,Entire home/apt,83,3,22,2023-06-11,0.51,1,0,11,104373/AL
40046849,Rental unit in Porto · Studio · 2 beds · 1 bath,2686177,Citybreak,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14587,-8.61309,Entire home/apt,92,1,2,2023-05-06,0.05,26,133,1,86281/AL
40389070,Rental unit in Porto · 1 bedroom · 1 bed · 1.5 baths,57303623,Catarina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15562,-8.61039,Entire home/apt,60,1,1,2020-11-15,0.03,1,130,0,106153/AL
39685294,Home in Pedroso · 2 bedrooms · 4 beds · 1 bath,226466882,Jorge,VILA NOVA DE GAIA,Pedroso e Seixezelo,41.07337,-8.55015,Entire home/apt,120,3,1,2020-08-17,0.03,11,70,0,80617/AL
40392404,Rental unit in Porto · ★4.43 · 1 bedroom · 1 bed · 1 bath,312225392,Ally,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14446,-8.61538,Entire home/apt,57,2,116,2023-05-31,2.75,1,231,44,103328/AL
39687329,Rental unit in Porto · 2 bedrooms · 2 beds · 1 bath,305030654,Ophelie,PORTO,Paranhos,41.16932,-8.60763,Entire home/apt,70,5,0,,,1,0,0,Exempt
40394331,Rental unit in Porto · ★4.77 · 1 bedroom · 2 beds · 1 bath,6369029,Teresa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15242,-8.60685,Entire home/apt,35,2,71,2023-05-29,1.66,14,78,49,Exempt
39690520,Rental unit in Porto · 1 bedroom · 1 bed · 1 bath,297884835,Sleep In Office,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14799,-8.60685,Entire home/apt,94,2,0,,,6,343,0,95967/AL
40048420,Rental unit in Porto · 2 bedrooms · 3 beds · 1 bath,2686177,Citybreak,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14645,-8.60885,Entire home/apt,212,1,0,,,26,135,0,50202/AL
