id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26716428,Serviced apartment in Lisboa · ★5.0 · 2 bedrooms · 3 beds · 2 baths,663233,Leo,Lisboa,Arroios,38.73264,-9.13624,Entire home/apt,183,3,4,2023-06-05,0.38,2,134,4,123839/AL
27182006,Rental unit in Lisboa · ★4.84 · 1 bedroom · 2 beds · 1 bath,204676662,Bruno,Lisboa,Santa Maria Maior,38.71256,-9.12612,Entire home/apt,104,2,149,2023-05-29,2.52,1,286,43,78433/AL
27183171,Rental unit in Lisboa · ★4.57 · 2 bedrooms · 2 beds · 1 bath,204684079,Jaime,Lisboa,Arroios,38.72501,-9.13708,Entire home/apt,129,4,7,2022-09-12,0.12,1,14,4,78331/AL
26886405,Rental unit in Lisboa · ★4.76 · 1 bedroom · 1 bed · 1 bath,5349089,Sophie,Lisboa,Ajuda,38.70223,-9.20206,Entire home/apt,55,5,17,2023-04-01,0.30,1,1,5,78580/AL
26716525,Rental unit in Algés · ★4.88 · 2 bedrooms · 2 beds · 1 bath,57552810,Sofia Rio Tinto E,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.7039,-9.22758,Entire home/apt,84,5,64,2023-05-26,1.07,1,20,18,77134/AL
26717537,Rental unit in Lisboa · ★4.50 · 1 bedroom · 2 beds · 1 bath,74171605,Rui & Elsa,Lisboa,So Vicente,38.71367,-9.1278,Entire home/apt,103,2,317,2023-06-09,5.31,25,294,80,76597/AL
26727858,Guesthouse in Colares · 1 bedroom · 3 beds · 1 bath,40025337,Margarida,Sintra,Colares,38.81511,-9.47366,Entire home/apt,210,4,0,,,6,182,0,10227/AL
26886862,Home in Sintra · ★5.0 · 4 bedrooms · 7 beds · 4.5 baths,16696225,Aline,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79091,-9.40468,Entire home/apt,900,1,3,2023-05-15,0.21,15,181,2,118767/AL
26890410,Rental unit in Lisboa · ★5.0 · 1 bedroom · 2 beds · 2 baths,92004859,Rita,Lisboa,So Vicente,38.7146,-9.12866,Entire home/apt,200,2,27,2020-03-15,0.45,2,0,0,77152/AL
26895261,Rental unit in Lisboa · ★4.63 · 1 bedroom · 1 bed · 1 bath,105540604,Christophe,Lisboa,Santa Maria Maior,38.71215,-9.12881,Entire home/apt,55,2,184,2023-06-04,3.10,15,226,60,76554/AL
26897225,Home in Ribamar · ★4.64 · 3 bedrooms · 4 beds · 2 baths,10537849,John,Mafra,Santo Isidoro,39.00846,-9.41452,Entire home/apt,269,4,36,2023-06-02,0.62,1,194,9,73023/AL
26730732,Rental unit in Lisboa · ★4.94 · 2 bedrooms · 4 beds · 1 bath,200996818,Nuno,Lisboa,Ajuda,38.70346,-9.1963,Entire home/apt,75,2,93,2020-04-18,1.56,1,0,0,54758/AL
26738901,Rental unit in Lisboa · ★3.99 · 2 bedrooms · 2 beds · 1 bath,3953109,Feels Like Home,Lisboa,Misericrdia,38.71298,-9.14356,Entire home/apt,136,1,116,2023-06-05,1.94,312,289,39,62330/AL
27185262,Rental unit in Oeiras · ★4.80 · 3 bedrooms · 3 beds · 1.5 baths,204696865,Maria,Oeiras,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",38.69251,-9.30527,Entire home/apt,175,3,59,2023-05-29,1.00,1,290,15,64488/AL
26907609,Aparthotel in Lisboa · 1 bedroom · 1 bed · 1 bath,168086820,Alfama,Lisboa,So Vicente,38.71398,-9.12945,Entire home/apt,115,1,1,2021-10-15,0.05,4,360,0,23349/AL
26910759,Townhouse in Estoril · ★4.75 · Studio · 4 beds · 1 bath,49806025,Maria,Cascais,Cascais e Estoril,38.70845,-9.38511,Entire home/apt,200,3,16,2021-05-11,0.27,1,0,0,78610/AL
27185950,Rental unit in Lisboa · Studio · 1 bed · 1 bath,4469382,Ana,Lisboa,Santo Antnio,38.72797,-9.14546,Entire home/apt,113,2,1,2023-05-01,0.68,2,84,1,Exempt
27186294,Rental unit in Lisboa · ★4.65 · 1 bedroom · 2 beds · 1 bath,91464804,Hometown Experience Lisbon,Lisboa,So Vicente,38.71813,-9.13226,Entire home/apt,80,4,18,2020-09-22,0.31,7,0,0,78737/AL
26920584,Rental unit in Lisboa · ★4.98 · 2 bedrooms · 3 beds · 1 bath,202554546,Pedro,Lisboa,Penha de Frana,38.72703,-9.12535,Entire home/apt,92,3,91,2023-06-03,1.54,1,94,45,75468/AL
27186362,Rental unit in Lisboa · 2 bedrooms · 2 beds · 1 bath,204708943,Jaime,Lisboa,Arroios,38.72501,-9.13708,Entire home/apt,109,4,2,2019-06-02,0.04,1,14,0,78328/AL
