Place of residence at Census date [2021] (NUTS - 2013);S7A2021:2021-T:MF-T:Total;S7A2021:2021-T:MF-1:0 - 14 years;S7A2021:2021-T:MF-2:15 - 24 years;S7A2021:2021-T:MF-3:25 - 64 years;S7A2021:2021-T:MF-4:65 and more years;S7A2021:2021-1:M-T:Total;S7A2021:2021-1:M-1:0 - 14 years;S7A2021:2021-1:M-2:15 - 24 years;S7A2021:2021-1:M-3:25 - 64 years;S7A2021:2021-1:M-4:65 and more years;S7A2021:2021-2:F-T:Total;S7A2021:2021-2:F-1:0 - 14 years;S7A2021:2021-2:F-2:15 - 24 years;S7A2021:2021-2:F-3:25 - 64 years;S7A2021:2021-2:F-4:65 and more years
151102:Sesimbra (Santiago);4083;344;289;1888;1562;1970;172;160;939;699;2113;172;129;949;863
151207:Gâmbia-Pontes-Alto da Guerra;6809;1161;761;3632;1255;3365;611;391;1801;562;3444;550;370;1831;693
151208:Sado;5357;697;521;2647;1492;2645;357;275;1327;686;2712;340;246;1320;806
151205:Setúbal (São Sebastião);52627;7951;6045;27900;10731;25041;4070;3105;13171;4695;27586;3881;2940;14729;6036
151209:União das freguesias de Azeitão (São Lourenço e São Simão);20946;3108;2455;10831;4552;10113;1613;1250;5177;2073;10833;1495;1205;5654;2479
151210:União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça);37757;4599;3722;18973;10463;17394;2346;1861;8884;4303;20363;2253;1861;10089;6160
111102:Algueirão-Mem Martins;68649;10505;8364;38495;11285;32390;5278;4222;18194;4696;36259;5227;4142;20301;6589
111115:Casal de Cambra;13347;2228;1732;7249;2138;6340;1150;857;3368;965;7007;1078;875;3881;1173
111105:Colares;7746;1050;770;3967;1959;3686;537;387;1936;826;4060;513;383;2031;1133
111108:Rio de Mouro;49489;7728;6211;27984;7566;23265;3915;3104;13007;3239;26224;3813;3107;14977;4327
111122:União das freguesias de Agualva e Mira-Sintra;41323;5695;4978;22104;8546;19152;2903;2480;10196;3573;22171;2792;2498;11908;4973
111123:União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar;17262;2447;1799;9023;3993;8440;1249;947;4476;1768;8822;1198;852;4547;2225
111125:União das freguesias de Massamá e Monte Abraão;47804;6455;5838;26420;9091;22105;3277;2961;12061;3806;25699;3178;2877;14359;5285
111126:União das freguesias de Queluz e Belas;52414;7677;6376;29235;9126;24720;3924;3232;13881;3683;27694;3753;3144;15354;5443
111127:União das freguesias de São João das Lampas e Terrugem;17993;2618;1869;9505;4001;8636;1317;924;4645;1750;9357;1301;945;4860;2251
111128:União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim);29896;4262;3429;16195;6010;14500;2173;1783;7918;2626;15396;2089;1646;8277;3384
111124:União das freguesias do Cacém e São Marcos;39683;6238;5257;23018;5170;18558;3167;2564;10674;2153;21125;3071;2693;12344;3017
111412:União das freguesias de Alhandra, São João dos Montes e Calhandriz;12645;1756;1370;6586;2933;6041;944;652;3195;1250;6604;812;718;3391;1683
111413:União das freguesias de Alverca do Ribatejo e Sobralinho;36465;5379;3769;20099;7218;17465;2777;1928;9601;3159;19000;2602;1841;10498;4059
111414:União das freguesias de Castanheira do Ribatejo e Cachoeiras;7954;1099;941;4339;1575;3806;566;473;2098;669;4148;533;468;2241;906
111415:União das freguesias de Póvoa de Santa Iria e Forte da Casa;40871;6221;4716;23705;6229;19542;3177;2368;11127;2870;21329;3044;2348;12578;3359
111408:Vialonga;21258;3886;2469;11671;3232;10261;2052;1237;5533;1439;10997;1834;1232;6138;1793
111409:Vila Franca de Xira;18336;2579;1962;9558;4237;8563;1323;988;4495;1757;9773;1256;974;5063;2480
