Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Condo in porto,★4.86,"Studio, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,100,2,Ruis,76,2023-06-08 00:00:00,41.1447,-8.61291
Rental unit in porto,★4.55,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,84,1,Gaspar,58,2023-06-07 00:00:00,41.15674,-8.60821
Rental unit in porto,★4.86,"1 bedroom, 2 beds, 1 bath",Porto,Bonfim,Entire home/apt,75,3,Susana & Pedro,51,2023-05-23 00:00:00,41.15049362182617,-8.597336769104004
Rental unit in porto,★4.48,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,84,1,Gaspar,46,2023-05-30 00:00:00,41.15625,-8.60913
Home in arcozelo,★4.94,"3 bedrooms, 4 beds, 2 baths",Vila Nova de Gaia,Arcozelo,Entire home/apt,120,3,Elisa,17,2023-06-08 00:00:00,41.049984,-8.654806
Rental unit in porto,★4.72,"1 bedroom, 2 beds, 1 bath",Porto,Bonfim,Entire home/apt,63,3,Susana & Pedro,39,2023-05-29 00:00:00,41.15048599243164,-8.597352981567383
Rental unit in porto,★4.93,"Studio, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,128,2,Jéssica,29,2023-06-09 00:00:00,41.14654,-8.60449
Condo in porto,★4.73,"1 bedroom, 1 bed, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,124,2,Best,33,2023-05-12 00:00:00,41.14448165893555,-8.612771987915039
Rental unit in porto,★4.89,"2 bedrooms, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,221,2,Jéssica,36,2023-05-22 00:00:00,41.14611,-8.60493
Rental unit in vila nova de gaia,★4.38,"1 bedroom, 2 beds, 2 baths",Vila Nova de Gaia,Santa Marinha e São Pedro da Afurada,Entire home/apt,120,2,Alexandre,65,2023-06-06 00:00:00,41.13631,-8.61196
Rental unit in vila do conde,★4.92,"3 bedrooms, 4 beds, 1 bath",Vila do Conde,Vila do Conde,Entire home/apt,90,4,Luis,12,2023-05-28 00:00:00,41.35125,-8.75334
Rental unit in porto,★4.51,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,65,2,Maria Amélia,81,2023-05-27 00:00:00,41.14146,-8.61732
Rental unit in vila nova de gaia,★4.50,"2 bedrooms, 3 beds, 1.5 baths",Vila Nova de Gaia,Mafamude e Vilar do Paraíso,Entire home/apt,63,2,Alvesgeste,10,2022-10-30 00:00:00,41.12886,-8.60822
Condo in porto,★4.79,"1 bedroom, 2 beds, 1 bath",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,124,2,Best,33,2023-05-29 00:00:00,41.14158,-8.61403
Home in porto,★Unknown,"3 bedrooms, 6 beds, 1.5 baths",Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,144,2,Hadassa,1,2022-04-12 00:00:00,41.1591,-8.60907
Rental unit in vila do conde,★4.33,"2 bedrooms, 4 beds, 2 baths",Vila do Conde,Vila do Conde,Entire home/apt,76,2,Maria,3,2023-02-14 00:00:00,41.35243,-8.75268
Rental unit in vila nova de gaia,★4.55,"3 bedrooms, 3 beds, 2 baths",Vila Nova de Gaia,Santa Marinha e São Pedro da Afurada,Entire home/apt,83,3,Aposentus,66,2023-06-11 00:00:00,41.134453,-8.60724
