Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Home in cascais,★4.94,"1 bedroom, 2 beds, 1 bath",Cascais,Cascais e Estoril,Entire home/apt,89,5,Pim,51,2023-06-10,38.6965,-9.42571
Rental unit in sintra,★5.0,"4 bedrooms, 6 beds, 3 baths",Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",Entire home/apt,250,5,Dagmar,46,2022-05-31,38.8038,-9.3797
Rental unit in lisbon,★4.96,"2 bedrooms, 5 beds, 2 baths",Lisboa,Santa Maria Maior,Entire home/apt,213,1,Martin,99,2023-05-30,38.71296,-9.1363
Rental unit in lisbon,★4.86,"2 bedrooms, 4 beds, 2 baths",Lisboa,Santa Maria Maior,Entire home/apt,205,1,Martin,170,2023-05-21,38.7129,-9.13817
Chalet in sintra,★4.76,"1 bedroom, 1 bed, 1 bath",Sintra,Colares,Entire home/apt,107,1,Pedro,249,2023-05-23,38.80579,-9.4721
Cottage in alenquer,★5.0,"4 bedrooms, 7 beds, 5 baths",Alenquer,Alenquer (Santo Estvo e Triana),Entire home/apt,350,7,Mercês,7,2022-08-25,39.05965,-9.04733
Rental unit in lisbon,★4.70,"2 bedrooms, 3 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,117,3,Sara And Sergio,353,2023-05-23,38.71165,-9.1463
Rental unit in lisbon,★4.44,"1 bedroom, 2 beds, 1 bath",Lisboa,So Vicente,Entire home/apt,143,4,João,441,2023-06-02,38.71359,-9.12974
Home in lisbon,★4.84,"1 bedroom, 1 bed, 1 private bath",Lisboa,Misericrdia,Private room,105,3,Rui,335,2023-06-07,38.71441,-9.14908
Rental unit in lisbon,★Unknown,1 bedroom,Lisboa,Avenidas Novas,Private room,65,1,Augusto,0,,38.7462,-9.15094
Rental unit in lisboa,★4.98,"1 bedroom, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,100,3,Teresa + Andy,724,2023-06-11,38.71109,-9.14715
Rental unit in lisbon,★4.52,"1 bedroom, 1 bed, 2 baths",Lisboa,Estrela,Entire home/apt,120,2,Pipas,37,2019-11-05,38.70388,-9.16546
