Place of residence at Census date [2021] (NUTS - 2013);S7A2021:2021-T:MF-T:Total;S7A2021:2021-T:MF-1:0 - 14 years;S7A2021:2021-T:MF-2:15 - 24 years;S7A2021:2021-T:MF-3:25 - 64 years;S7A2021:2021-T:MF-4:65 and more years;S7A2021:2021-1:M-T:Total;S7A2021:2021-1:M-1:0 - 14 years;S7A2021:2021-1:M-2:15 - 24 years;S7A2021:2021-1:M-3:25 - 64 years;S7A2021:2021-1:M-4:65 and more years;S7A2021:2021-2:F-T:Total;S7A2021:2021-2:F-1:0 - 14 years;S7A2021:2021-2:F-2:15 - 24 years;S7A2021:2021-2:F-3:25 - 64 years;S7A2021:2021-2:F-4:65 and more years
131701:Arcozelo;15144;2052;1588;8411;3093;7227;1046;837;3948;1396;7917;1006;751;4463;1697
131702:Avintes;10836;1351;1172;5908;2405;5283;712;605;2892;1074;5553;639;567;3016;1331
131703:Canelas;13918;2039;1538;8078;2263;6710;1020;809;3853;1028;7208;1019;729;4225;1235
131704:Canidelo;28054;3788;2834;15727;5705;13333;1979;1481;7306;2567;14721;1809;1353;8421;3138
131709:Madalena;10551;1410;1083;5698;2360;5045;752;523;2746;1024;5506;658;560;2952;1336
131712:Oliveira do Douro;22615;2924;2371;12391;4929;10672;1512;1163;5827;2170;11943;1412;1208;6564;2759
131717:São Félix da Marinha;13560;1890;1366;7498;2806;6573;996;725;3610;1242;6987;894;641;3888;1564
131725:União das freguesias de Grijó e Sermonde;12018;1657;1323;6474;2564;5748;791;671;3141;1145;6270;866;652;3333;1419
131726:União das freguesias de Gulpilhares e Valadares;22322;3041;2439;12079;4763;10595;1555;1243;5738;2059;11727;1486;1196;6341;2704
131727:União das freguesias de Mafamude e Vilar do Paraíso;52844;5888;5499;29026;12431;24443;2990;2850;13392;5211;28401;2898;2649;15634;7220
131728:União das freguesias de Pedroso e Seixezelo;20226;2675;2225;11061;4265;9760;1412;1110;5320;1918;10466;1263;1115;5741;2347
131729:União das freguesias de Sandim, Olival, Lever e Crestuma;15956;1963;1771;8470;3752;7721;1014;867;4145;1695;8235;949;904;4325;2057
131730:União das freguesias de Santa Marinha e São Pedro da Afurada;34032;4130;3151;19241;7510;15799;2120;1615;8919;3145;18233;2010;1536;10322;4365
131731:União das freguesias de Serzedo e Perosinho;13745;1741;1528;7593;2883;6658;906;759;3685;1308;7087;835;769;3908;1575
131723:Vilar de Andorinho;18003;2363;2173;10186;3281;8532;1199;1098;4786;1449;9471;1164;1075;5400;1832
