Place of residence at Census date [2021] (NUTS - 2013);S7A2021:2021-T:MF-T:Total;S7A2021:2021-T:MF-1:0 - 14 years;S7A2021:2021-T:MF-2:15 - 24 years;S7A2021:2021-T:MF-3:25 - 64 years;S7A2021:2021-T:MF-4:65 and more years;S7A2021:2021-1:M-T:Total;S7A2021:2021-1:M-1:0 - 14 years;S7A2021:2021-1:M-2:15 - 24 years;S7A2021:2021-1:M-3:25 - 64 years;S7A2021:2021-1:M-4:65 and more years;S7A2021:2021-2:F-T:Total;S7A2021:2021-2:F-1:0 - 14 years;S7A2021:2021-2:F-2:15 - 24 years;S7A2021:2021-2:F-3:25 - 64 years;S7A2021:2021-2:F-4:65 and more years
111608:União das freguesias de Pontinha e Famões;35111;5071;3665;18808;7567;16747;2577;1896;8932;3342;18364;2494;1769;9876;4225
111609:União das freguesias de Póvoa de Santo Adrião e Olival Basto;18806;2503;1881;9687;4735;8725;1287;923;4576;1939;10081;1216;958;5111;2796
111610:União das freguesias de Ramada e Caneças;34531;5641;3713;18656;6521;16376;2864;1847;8840;2825;18155;2777;1866;9816;3696
111002:Barcarena;14451;2301;1564;7798;2788;6978;1192;826;3742;1218;7473;1109;738;4056;1570
111009:Porto Salvo;15098;2343;1697;7812;3246;7173;1205;862;3659;1447;7925;1138;835;4153;1799
111012:União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo;47936;6497;4851;24276;12312;22066;3333;2491;11219;5023;25870;3164;2360;13057;7289
111013:União das freguesias de Carnaxide e Queijas;36079;5750;3883;18437;8009;16758;2996;1991;8457;3314;19321;2754;1892;9980;4695
111014:União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias;58094;7426;5869;29906;14893;26606;3851;2997;13894;5864;31488;3575;2872;16012;9029
111102:Algueirão-Mem Martins;68649;10505;8364;38495;11285;32390;5278;4222;18194;4696;36259;5227;4142;20301;6589
111115:Casal de Cambra;13347;2228;1732;7249;2138;6340;1150;857;3368;965;7007;1078;875;3881;1173
111105:Colares;7746;1050;770;3967;1959;3686;537;387;1936;826;4060;513;383;2031;1133
111108:Rio de Mouro;49489;7728;6211;27984;7566;23265;3915;3104;13007;3239;26224;3813;3107;14977;4327
111122:União das freguesias de Agualva e Mira-Sintra;41323;5695;4978;22104;8546;19152;2903;2480;10196;3573;22171;2792;2498;11908;4973
