;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2021 (continua);;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2021 (to be continued);;;;;;;;;;;;;;;;;;;;
;"Densidade populacional 
?";Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa bruta de natalidade;Taxa bruta de mortalidade;Taxa bruta de nupcialidade;Taxa bruta de divórcio;Taxa de fecundidade geral;Taxa de fecundidade na adolescência;Índice sintético de fecundidade;Mulheres em idade fértil na população residente feminina;Nados-vivos fora do casamento;Proporção de casamentos católicos; ;;Desagregação Territorial;;;
;N.º/km2;%;;;‰;;;;;;N.º;%;;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
  São Miguel;  186,4; 0,01; 0,02;- 0,01;  9,2;  9,0;  3,6;  2,6;  36,7;x;x; 48,9; 52,6; 28,8;;-;;;;
Lagoa (R.A.A.);  311,8; 0,12;- 0,08; 0,20;  9,5;  10,3;  8,3;  2,1;  36,6;x;x; 50,9; 41,5; 13,6;;2004201;;;;x
Nordeste;  43,2;- 0,09;- 0,66; 0,57;  6,2;  12,8;  4,8;  2,2;  28,7;x;x; 42,5; 63,0; 25,0;;2004202;;;;x
Ponta Delgada;  288,7; 0,01; 0,03;- 0,02;  9,2;  9,0;  2,7;  3,3;  36,8;x;x; 48,1; 54,9; 39,2;;2004203;;;;x
Povoação;  54,4;- 0,28;- 0,22;- 0,05;  7,8;  10,0;  3,6;  2,4;  33,2;x;x; 45,6; 46,7; 25,0;;2004204;;;;x
Ribeira Grande;  174,5; 0,16; 0,29;- 0,13;  10,5;  7,7;  2,7;  2,0;  40,7;x;x; 51,3; 52,3; 29,4;;2004205;;;;x
Vila Franca do Campo;  132,1;- 0,39;- 0,27;- 0,12;  6,9;  9,6;  4,9;  0,6;  28,3;x;x; 48,8; 54,9; 29,4;;2004206;;;;x
  Terceira;  132,9;- 0,21;- 0,24; 0,04;  8,0;  10,5;  3,9;  2,4;  35,1;x;x; 44,3; 52,6; 38,0;;-;;;;
Angra do Heroísmo;  141,0;- 0,36;- 0,28;- 0,08;  7,7;  10,5;  5,0;  2,3;  33,6;x;x; 44,2; 53,8; 39,5;;2004301;;;;x
Vila da Praia da Vitória;  120,8; 0,05;- 0,18; 0,24;  8,6;  10,5;  2,0;  2,5;  37,8;x;x; 44,4; 50,6; 31,6;;2004302;;;;x
  Graciosa;  67,4;- 0,17;- 0,34; 0,17;  7,1;  10,5;  3,2;  2,9;  33,2;x;x; 42,0; 72,4; 30,8;;-;;;;
Santa Cruz da Graciosa;  67,4;- 0,17;- 0,34; 0,17;  7,1;  10,5;  3,2;  2,9;  33,2;x;x; 42,0; 72,4; 30,8;;2004401;;;;x
  São Jorge;  34,3;- 0,48;- 0,61; 0,13;  6,6;  12,7;  2,2;  1,9;  30,8;x;x; 42,2; 50,9; 27,8;;-;;;;
Calheta (R.A.A.);  27,2;- 0,35;- 0,44; 0,09;  6,1;  10,5;  1,7;  1,8;  29,7;x;x; 40,5; 47,6; 33,3;;2004501;;;;x
Velas;  41,9;- 0,57;- 0,73; 0,16;  6,9;  14,2;  2,4;  2,0;  31,4;x;x; 43,4; 52,9; 25,0;;2004502;;;;x
  Pico;  31,3; 0,09;- 0,34; 0,44;  7,3;  10,7;  3,6;  2,2;  33,7;x;x; 42,0; 55,4; 18,0;;-;;;;
Lajes do Pico;  28,0;- 0,07;- 0,34; 0,28;  7,4;  10,8;  4,4;  2,0;  35,9;x;x; 40,3; 53,1; 15,8;;2004601;;;;x
Madalena;  43,1; 0,00;- 0,33; 0,33;  7,4;  10,7;  3,2;  2,0;  32,8;x;x; 43,7; 57,4; 30,0;;2004602;;;;x
São Roque do Pico;  22,8; 0,49;- 0,37; 0,87;  6,8;  10,5;  3,4;  2,8;  32,5;x;x; 40,9; 54,5; 0,0;;2004603;;;;x
  Faial;  82,6;- 0,57;- 0,57; 0,00;  7,7;  13,3;  3,6;  3,1;  33,8;x;x; 44,1; 58,2; 34,0;;-;;;;
Horta;  82,6;- 0,57;- 0,57; 0,00;  7,7;  13,3;  3,6;  3,1;  33,8;x;x; 44,1; 58,2; 34,0;;2004701;;;;x
  Flores;  24,4; 0,44;- 0,58; 1,02;  8,4;  14,3;  1,7;  4,4;  38,9;x;x; 44,0; 79,3; 0,0;;-;;;;
Lajes das Flores;  20,1;- 0,21;- 1,28; 1,07;  5,0;  17,8;  2,8;  4,2;  23,5;x;x; 44,4; 85,7; 0,0;;2004801;;;;x
Santa Cruz das Flores;  28,8; 0,89;- 0,10; 0,99;  10,8;  11,8;  1,0;  4,3;  49,2;x;x; 43,8; 77,3; 0,0;;2004802;;;;x
  Corvo;  23,3; 2,80;- 0,25; 3,05;  12,7;  15,2;  7,6;  2,5;  54,9;x;x; 48,1; 80,0; 0,0;;-;;;;
Corvo;  23,3; 2,80;- 0,25; 3,05;  12,7;  15,2;  7,6;  2,5;  54,9;x;x; 48,1; 80,0; 0,0;;2004901;;;;x
 R. A. Madeira;  313,5;- 0,03;- 0,45; 0,42;  6,9;  11,4;  3,4;  1,8;  31,5;  4,9;  1,23; 41,4; 64,1; 23,2;;300;x;x;x;
Calheta (R.A.M.);  97,8;- 0,45;- 0,94; 0,49;  6,1;  15,6;  7,3;  1,8;  31,3;x;x; 36,4; 56,7; 10,4;;3003101;;;;x
Câmara de Lobos;  615,9;- 0,15;- 0,05;- 0,10;  8,4;  8,9;  2,0;  1,8;  35,2;x;x; 45,6; 72,2; 45,3;;3003102;;;;x
Funchal; 1 388,4;- 0,22;- 0,57; 0,35;  6,8;  12,5;  3,1;  1,8;  31,7;x;x; 39,8; 66,9; 26,8;;3003103;;;;x
Machico;  286,3;- 0,45;- 0,43;- 0,02;  5,7;  10,0;  4,4;  1,8;  27,3;x;x; 39,9; 51,4; 19,8;;3003104;;;;x
Ponta do Sol;  181,5; 0,20;- 0,48; 0,68;  7,4;  12,2;  5,4;  1,7;  33,9;x;x; 40,7; 56,5; 4,9;;3003105;;;;x
Porto Moniz;  30,3;- 0,32;- 0,87; 0,56;  4,0;  12,7;  7,5;  1,2;  22,1;x;x; 32,1; 10,0; 5,3;;3003106;;;;x
Ribeira Brava;  193,8;- 0,08;- 0,46; 0,38;  7,2;  11,8;  3,8;  1,6;  32,4;x;x; 41,1; 43,5; 29,8;;3003107;;;;x
Santa Cruz;  524,2; 0,98;- 0,10; 1,09;  7,8;  8,8;  3,3;  1,9;  31,5;x;x; 47,2; 67,0; 22,6;;3003108;;;;x
Santana;  68,3;- 0,87;- 1,11; 0,24;  4,3;  15,4;  2,9;  1,2;  23,6;x;x; 33,3; 67,9; 21,1;;3003109;;;;x
São Vicente;  61,6;- 0,66;- 1,42; 0,76;  4,3;  18,5;  1,4;  1,8;  23,3;x;x; 34,7; 57,1; 14,3;;3003110;;;;x
Porto Santo;  121,3; 0,33;- 0,41; 0,73;  6,4;  10,4;  5,2;  1,9;  30,1;x;x; 41,8; 54,5; 11,1;;3003201;;;;x
;"Population density
?";Crude rate of increase;Crude rate of natural increase;Crude migratory rate;Crude birth rate;Crude death rate;Crude marriage rate;Crude divorce rate;General fertility rate;Teenage fertility rate;Total fertility rate;Women in childbearing age within female resident population ;Live births outside marriage;Proportion of catholic marriages;;;;;;
;No./km2;%;;;‰;;;;;;No.;%;;;;;;;;
© INE, I.P., Portugal, 2022. Informação disponível até 14 de outubro de 2022. Information available till 14th October, 2022.;;;;;;;;;;;;;;;;;;;;
Fonte: INE, I.P., Indicadores Demográficos e Estimativas Anuais da População Residente.;;;;;;;;;;;;;;;;;;;;
Source: Statistics Portugal, Demographic Indicators and Annual Estimates of Resident Population.;;;;;;;;;;;;;;;;;;;;
"Nota: Não se apresentam os dados da taxa bruta de nupcialidade e proporção de casamentos católicos para o município de Odivelas devido à inexistência de Conservatória de Registo Civil neste município.
Os dados da população residente, utilizados no cálculo dos indicadores para 2021, resultam de um exercício ad hoc de estimativas de população residente para 31 de dezembro de 2021, calculadas com base nos resultados provisórios dos Censos 2021. Assim, os resultados dos indicadores para 2021 serão revistos na sequência da divulgação da nova série de estimativas de população pós-Censos 2021.";;;;;;;;;;;;;;;;;;;;
"Note: The crude marriage rate and proportion of catholic marriages for Odivelas are not available due to the non-existence of Civil Register Offices in that municipality.                                                                                                                                                                                         
The resident population data, used in the calculation of the 2021 indicators are a result from an ad hoc exercise of resident population estimates for December 31, 2021, based on the provisional results of the 2021 Census. Thus, the results of the 2021 indicators will be revised following the release of the new series of post-2021 Census population estimates.";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Para mais informação consulte / For more information see:;;;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008337;;;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008300;;;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008216;;;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008209;;;;;;;;;;;;;;;;;;;;
