;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2021 (continua);;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2021 (to be continued);;;;;;;;;;;;;;;;;;;;
;"Densidade populacional 
?";Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa bruta de natalidade;Taxa bruta de mortalidade;Taxa bruta de nupcialidade;Taxa bruta de divórcio;Taxa de fecundidade geral;Taxa de fecundidade na adolescência;Índice sintético de fecundidade;Mulheres em idade fértil na população residente feminina;Nados-vivos fora do casamento;Proporção de casamentos católicos; ;;Desagregação Territorial;;;
;N.º/km2;%;;;‰;;;;;;N.º;%;;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Carrazeda de Ansiães;  19,6;- 1,06;- 1,58; 0,53;  3,6;  19,5;  2,5;  1,6;  23,5;x;x; 29,8; 55,0; 42,9;;11D0403;;;;x
Freixo de Espada à Cinta;  13,1;- 1,21;- 1,84; 0,62;  5,6;  24,0;  1,2;  0,6;  35,0;x;x; 30,5; 66,7; 25,0;;11D0404;;;;x
Lamego;  146,6;- 0,73;- 0,92; 0,19;  5,1;  14,3;  3,0;  1,6;  26,6;x;x; 36,3; 54,8; 43,2;;11D1805;;;;x
Mesão Frio;  132,7;- 0,76;- 1,16; 0,39;  3,9;  15,5;  6,2;  1,9;  20,5;x;x; 36,0; 50,0; 13,6;;11D1704;;;;x
Moimenta da Beira;  42,9;- 0,05;- 0,69; 0,64;  6,8;  13,7;  2,3;  1,4;  37,2;x;x; 34,8; 53,1; 36,4;;11D1807;;;;x
Murça;  27,6;- 0,82;- 1,33; 0,51;  4,0;  17,3;  3,0;  1,5;  25,5;x;x; 30,4; 66,7; 68,8;;11D1707;;;;x
Penedono;  20,4;- 0,91;- 1,17; 0,26;  3,7;  15,4;  5,5;  1,1;  21,0;x;x; 33,2; 70,0; 40,0;;11D1812;;;;x
Peso da Régua;  152,6;- 0,80;- 0,89; 0,10;  5,5;  14,5;  4,8;  1,7;  28,1;x;x; 36,8; 61,3; 32,9;;11D1708;;;;x
Sabrosa;  35,4;- 0,31;- 1,04; 0,74;  3,4;  13,8;  2,0;  1,9;  19,3;x;x; 34,0; 31,6; 54,5;;11D1710;;;;x
Santa Marta de Penaguião;  87,8;- 0,92;- 1,36; 0,44;  4,6;  18,2;  2,9;  1,6;  26,6;x;x; 32,9; 46,4; 50,0;;11D1711;;;;x
São João da Pesqueira;  25,4;- 0,69;- 0,96; 0,27;  5,9;  15,5;  1,2;  0,7;  31,7;x;x; 36,4; 57,5; 37,5;;11D1815;;;;x
Sernancelhe;  24,9;- 0,26;- 0,86; 0,60;  6,0;  14,6;  3,3;  1,6;  35,5;x;x; 32,5; 61,8; 52,6;;11D1818;;;;x
Tabuaço;  37,8; 0,34;- 0,71; 1,05;  6,3;  13,5;  3,0;  0,9;  35,8;x;x; 33,6; 56,3; 66,7;;11D1819;;;;x
Tarouca;  73,9; 0,30;- 0,55; 0,85;  6,5;  12,0;  2,0;  2,8;  32,2;x;x; 39,0; 56,3; 60,0;;11D1820;;;;x
Torre de Moncorvo;  12,8;- 0,34;- 1,21; 0,88;  5,3;  17,4;  1,5;  0,8;  37,2;x;x; 27,0; 75,0; 0,0;;11D0409;;;;x
Vila Nova de Foz Côa;  15,8;- 0,82;- 1,58; 0,76;  4,7;  20,6;  2,4;  1,6;  30,3;x;x; 29,9; 56,7; 40,0;;11D0914;;;;x
Vila Real;  130,9;- 0,11;- 0,42; 0,30;  6,6;  10,8;  3,0;  2,2;  30,8;x;x; 40,0; 50,6; 54,8;;11D1714;;;;x
   Terras de Trás-os-Montes;  19,3;- 0,75;- 1,20; 0,45;  5,1;  17,1;  2,1;  1,2;  29,4;  8,6;  1,13; 33,4; 68,7; 34,8;;11E;;;x;
Alfândega da Fé;  13,4;- 1,29;- 1,94; 0,65;  4,9;  24,3;  1,2;  1,6;  31,1;x;x; 30,4; 76,2; 20,0;;11E0401;;;;x
