;;;;;;;;;;;;;;;
II.1.3 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2021 (continua);;;;;;;;;;;;;;;
II.1.3 - Resident population by municipality and according to age groups and sex on 31/12/2021 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Total;;;0 a 14 anos;;;15 a 24 anos;;;;;Desagregação Territorial;;;
;HM;H;M;HM;H;M;HM;H;M;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Fundão;  26 476;  12 729;  13 747;  2 658;  1 393;  1 265;  2 362;  1 256;  1 106;;16J0504;;;;x
Gouveia;  12 201;  5 707;  6 494;  1 098;   555;   543;   991;   512;   479;;16J0906;;;;x
Guarda;  40 100;  19 096;  21 004;  4 450;  2 230;  2 220;  4 167;  2 123;  2 044;;16J0907;;;;x
Manteigas;  2 899;  1 357;  1 542;   215;   102;   113;   234;   112;   122;;16J0908;;;;x
Mêda;  4 638;  2 202;  2 436;   381;   193;   188;   363;   187;   176;;16J0909;;;;x
Pinhel;  8 041;  3 847;  4 194;   613;   328;   285;   670;   347;   323;;16J0910;;;;x
Sabugal;  11 260;  5 316;  5 944;   847;   420;   427;   721;   353;   368;;16J0911;;;;x
Seia;  21 719;  10 271;  11 448;  2 104;  1 073;  1 031;  1 779;   913;   866;;16J0912;;;;x
Trancoso;  8 422;  3 997;  4 425;   741;   393;   348;   698;   364;   334;;16J0913;;;;x
  A. M. Lisboa; 2 869 627; 1 348 805; 1 520 822;  410 804;  210 742;  200 062;  308 497;  156 710;  151 787;;170;;x;x;
Alcochete;  19 309;  9 284;  10 025;  3 081;  1 544;  1 537;  2 341;  1 186;  1 155;;1701502;;;;x
Almada;  176 500;  82 707;  93 793;  24 092;  12 417;  11 675;  18 530;  9 480;  9 050;;1701503;;;;x
Amadora;  172 533;  79 883;  92 650;  24 716;  12 600;  12 116;  17 904;  8 993;  8 911;;1701115;;;;x
Barreiro;  77 821;  36 371;  41 450;  10 212;  5 202;  5 010;  8 183;  4 135;  4 048;;1701504;;;;x
Cascais;  213 812;  99 459;  114 353;  30 686;  15 839;  14 847;  23 628;  12 157;  11 471;;1701105;;;;x
Lisboa;  544 095;  253 235;  290 860;  71 777;  37 080;  34 697;  53 518;  27 034;  26 484;;1701106;;;;x
Loures;  202 636;  95 557;  107 079;  29 909;  15 447;  14 462;  21 722;  11 040;  10 682;;1701107;;;;x
Mafra;  86 795;  42 059;  44 736;  14 017;  7 161;  6 856;  10 000;  5 080;  4 920;;1701109;;;;x
Moita;  65 950;  31 147;  34 803;  9 745;  5 017;  4 728;  7 322;  3 736;  3 586;;1701506;;;;x
Montijo;  56 051;  27 257;  28 794;  9 027;  4 727;  4 300;  5 862;  2 991;  2 871;;1701507;;;;x
Odivelas;  149 150;  70 214;  78 936;  22 708;  11 527;  11 181;  15 290;  7 781;  7 509;;1701116;;;;x
Oeiras;  172 093;  79 829;  92 264;  24 132;  12 482;  11 650;  18 086;  9 323;  8 763;;1701110;;;;x
Palmela;  68 605;  33 014;  35 591;  9 831;  4 971;  4 860;  7 818;  4 013;  3 805;;1701508;;;;x
Seixal;  166 468;  78 460;  88 008;  24 415;  12 438;  11 977;  18 023;  9 194;  8 829;;1701510;;;;x
Sesimbra;  52 427;  25 432;  26 995;  7 727;  3 947;  3 780;  5 786;  2 984;  2 802;;1701511;;;;x
Setúbal;  122 300;  57 876;  64 424;  17 167;  8 791;  8 376;  13 416;  6 834;  6 582;;1701512;;;;x
