;;;;;;;;;;;;;;;
II.1.3 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2021 (continuação);;;;;;;;;;;;;;;
II.1.3 - Resident population by municipality and according to age groups and sex on 31/12/2021 (continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;25-64 anos;;;65 e mais anos;;;;;;;;;;;
;HM;H;M;Total;;;75 e mais anos;;;;;Desagregação Territorial;;;
;;;;HM;H;M;HM;H;M;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Paços de Ferreira;  32 043;  15 948;  16 095;  9 215;  4 117;  5 098;  3 912;  1 618;  2 294;;11C1309;;;;x
Penafiel;  39 194;  18 785;  20 409;  12 636;  5 570;  7 066;  5 449;  2 194;  3 255;;11C1311;;;;x
Resende;  5 268;  2 639;  2 629;  2 588;  1 113;  1 475;  1 322;   518;   804;;11C1813;;;;x
   Douro;  93 654;  45 581;  48 073;  53 245;  23 007;  30 238;  26 913;  10 570;  16 343;;11D;;;x;
Alijó;  5 134;  2 602;  2 532;  3 459;  1 540;  1 919;  1 809;   742;  1 067;;11D1701;;;;x
Armamar;  2 846;  1 393;  1 453;  1 737;   726;  1 011;   966;   372;   594;;11D1801;;;;x
Carrazeda de Ansiães;  2 512;  1 290;  1 222;  2 058;   895;  1 163;  1 067;   446;   621;;11D0403;;;;x
Freixo de Espada à Cinta;  1 436;   726;   710;  1 181;   506;   675;   705;   288;   417;;11D0404;;;;x
Lamego;  12 835;  6 203;  6 632;  6 413;  2 717;  3 696;  3 166;  1 189;  1 977;;11D1805;;;;x
Mesão Frio;  1 804;   870;   934;  1 048;   432;   616;   496;   191;   305;;11D1704;;;;x
Moimenta da Beira;  4 619;  2 230;  2 389;  2 806;  1 240;  1 566;  1 483;   607;   876;;11D1807;;;;x
Murça;  2 456;  1 216;  1 240;  1 887;   832;  1 055;   964;   408;   556;;11D1707;;;;x
Penedono;  1 286;   635;   651;   941;   396;   545;   526;   199;   327;;11D1812;;;;x
Peso da Régua;  7 615;  3 662;  3 953;  3 889;  1 645;  2 244;  1 792;   654;  1 138;;11D1708;;;;x
Sabrosa;  2 679;  1 334;  1 345;  1 848;   823;  1 025;   930;   356;   574;;11D1710;;;;x
Santa Marta de Penaguião;  2 999;  1 452;  1 547;  1 962;   855;  1 107;   939;   356;   583;;11D1711;;;;x
São João da Pesqueira;  3 481;  1 752;  1 729;  1 900;   839;  1 061;   966;   381;   585;;11D1815;;;;x
Sernancelhe;  2 818;  1 431;  1 387;  1 819;   806;  1 013;   973;   405;   568;;11D1818;;;;x
Tabuaço;  2 533;  1 229;  1 304;  1 620;   714;   906;   811;   316;   495;;11D1819;;;;x
Tarouca;  3 858;  1 874;  1 984;  1 819;   796;  1 023;   876;   352;   524;;11D1820;;;;x
Torre de Moncorvo;  3 027;  1 518;  1 509;  2 784;  1 194;  1 590;  1 544;   625;   919;;11D0409;;;;x
Vila Nova de Foz Côa;  2 995;  1 535;  1 460;  2 268;   961;  1 307;  1 201;   452;   749;;11D0914;;;;x
Vila Real;  26 721;  12 629;  14 092;  11 806;  5 090;  6 716;  5 699;  2 231;  3 468;;11D1714;;;;x
   Terras de Trás-os-Montes;  51 214;  25 076;  26 138;  36 370;  16 279;  20 091;  19 280;  8 106;  11 174;;11E;;;x;
Alfândega da Fé;  2 001;   992;  1 009;  1 617;   748;   869;   884;   386;   498;;11E0401;;;;x
Bragança;  17 469;  8 435;  9 034;  9 817;  4 370;  5 447;  4 969;  2 111;  2 858;;11E0402;;;;x
Macedo de Cavaleiros;  6 746;  3 297;  3 449;  4 972;  2 196;  2 776;  2 575;  1 045;  1 530;;11E0405;;;;x
Miranda do Douro;  2 903;  1 453;  1 450;  2 518;  1 132;  1 386;  1 417;   593;   824;;11E0406;;;;x
Mirandela;  10 338;  4 975;  5 363;  6 898;  3 038;  3 860;  3 606;  1 498;  2 108;;11E0407;;;;x
Mogadouro;  3 874;  1 974;  1 900;  3 142;  1 412;  1 730;  1 760;   732;  1 028;;11E0408;;;;x
Vila Flor;  2 823;  1 382;  1 441;  2 156;   965;  1 191;  1 135;   471;   664;;11E0410;;;;x
Vimioso;  1 755;   891;   864;  1 808;   831;   977;   976;   414;   562;;11E0411;;;;x
Vinhais;  3 305;  1 677;  1 628;  3 442;  1 587;  1 855;  1 958;   856;  1 102;;11E0412;;;;x
  Centro; 1 144 268;  554 145;  590 123;  606 906;  262 226;  344 680;  311 637;  124 467;  187 170;;16;;x;;
   Oeste;  190 822;  92 667;  98 155;  88 995;  39 209;  49 786;  44 037;  18 075;  25 962;;16B;;;x;
Alcobaça;  28 528;  13 978;  14 550;  14 326;  6 293;  8 033;  7 083;  2 926;  4 157;;16B1001;;;;x
Alenquer;  24 171;  11 796;  12 375;  9 065;  3 973;  5 092;  4 424;  1 776;  2 648;;16B1101;;;;x
Arruda dos Vinhos;  7 556;  3 687;  3 869;  2 727;  1 181;  1 546;  1 357;   552;   805;;16B1102;;;;x
Bombarral;  6 486;  3 139;  3 347;  3 516;  1 548;  1 968;  1 664;   682;   982;;16B1005;;;;x
Cadaval;  6 535;  3 192;  3 343;  4 030;  1 786;  2 244;  2 098;   869;  1 229;;16B1104;;;;x
Caldas da Rainha;  26 520;  12 531;  13 989;  13 285;  5 793;  7 492;  6 683;  2 712;  3 971;;16B1006;;;;x
Lourinhã;  13 507;  6 531;  6 976;  6 749;  3 062;  3 687;  3 235;  1 367;  1 868;;16B1108;;;;x
Nazaré;  7 689;  3 724;  3 965;  3 934;  1 716;  2 218;  1 789;   699;  1 090;;16B1011;;;;x
Óbidos;  6 174;  3 046;  3 128;  3 213;  1 461;  1 752;  1 519;   642;   877;;16B1012;;;;x
Peniche;  13 386;  6 476;  6 910;  6 938;  3 037;  3 901;  3 390;  1 389;  2 001;;16B1014;;;;x
Sobral de Monte Agraço;  5 746;  2 805;  2 941;  2 167;   944;  1 223;  1 074;   417;   657;;16B1112;;;;x
Torres Vedras;  44 524;  21 762;  22 762;  19 045;  8 415;  10 630;  9 721;  4 044;  5 677;;16B1113;;;;x
   Região de Aveiro;  198 209;  95 711;  102 498;  87 250;  38 101;  49 149;  42 296;  17 288;  25 008;;16D;;;x;
Águeda;  24 231;  11 727;  12 504;  11 969;  5 354;  6 615;  5 741;  2 419;  3 322;;16D0101;;;;x
Albergaria-a-Velha;  13 411;  6 578;  6 833;  5 707;  2 556;  3 151;  2 703;  1 138;  1 565;;16D0102;;;;x
Anadia;  13 879;  6 749;  7 130;  8 170;  3 556;  4 614;  4 203;  1 691;  2 512;;16D0103;;;;x
Aveiro;  45 481;  21 661;  23 820;  17 335;  7 497;  9 838;  8 196;  3 359;  4 837;;16D0105;;;;x
Estarreja;  13 904;  6 877;  7 027;  6 450;  2 759;  3 691;  3 275;  1 304;  1 971;;16D0108;;;;x
Ílhavo;  21 624;  10 303;  11 321;  8 598;  3 734;  4 864;  4 021;  1 595;  2 426;;16D0110;;;;x
Murtosa;  5 443;  2 693;  2 750;  2 597;  1 114;  1 483;  1 326;   540;   786;;16D0112;;;;x
Oliveira do Bairro;  12 266;  5 880;  6 386;  5 514;  2 366;  3 148;  2 880;  1 165;  1 715;;16D0114;;;;x
Ovar;  30 335;  14 629;  15 706;  12 071;  5 279;  6 792;  5 425;  2 223;  3 202;;16D0115;;;;x
Sever do Vouga;  5 539;  2 729;  2 810;  3 278;  1 446;  1 832;  1 714;   707;  1 007;;16D0117;;;;x
Vagos;  12 096;  5 885;  6 211;  5 561;  2 440;  3 121;  2 812;  1 147;  1 665;;16D0118;;;;x
   Região de Coimbra;  224 740;  107 955;  116 785;  122 316;  52 025;  70 291;  63 060;  24 858;  38 202;;16E;;;x;
